# Nodos
# label,Lat,Lon
torreTigo,14.573993513848198, -90.48159396635145
guatemala,14.6123, -90.5353
zona10,14.6186, -90.5249
zona12,14.5839, -90.4973
mixco,14.6228, -90.557
zona11,14.6365, -90.5111
sanLucas,14.6548, -90.5923
ciudadVieja,14.5648, -90.7392
antigua,14.5656, -90.7336
campusUMGAntigua,14.576024368980857, -90.73642566933039
villaNueva,14.526, -90.5875
amatitlan,14.4774, -90.6349
villaCanales,14.4816, -90.5315
santaCatarinaPinula,14.5725, -90.5005
carreteraElSalvador,14.566, -90.48
santaLuciaMilpasAltas,14.5761, -90.6769
sanBartolomeMilpasAltas,14.6053, -90.675
sanMiguelPetapa,14.5042, -90.5645
bocaDelMonte,14.5417, -90.5129
barcenas,14.521, -90.588

# Aristas
# from,to,[]
1,2,[1.41,4.56,6.39,1.07,3.71,2.9,2.24,3.3,3.95,1.07,7.72,2.58,4.42,7.33,5.5,8.5,8.26,1.65,8.76,1.38,1.17,9.29,8.76]
1,3,[6.18,6.16,7.39,4.76,2.04,1.19,3.92,8.21,6.56,8.49,9.28,1.79,8.6,3.19,6.3,5.72,4.56,3.79,4.06,4.0,2.51,5.59,2.03]
1,4,[5.59,9.15,4.14,7.55,8.37,8.34,3.13,2.32,2.78,6.42,7.84,6.9,2.59,7.96,5.45,7.79,7.84,5.04,9.32,6.08,6.72,6.62,8.78]
1,5,[6.64,2.36,1.61,4.98,3.73,3.47,1.51,5.57,3.79,5.07,1.51,8.49,1.69,8.78,8.7,6.54,5.56,5.16,5.99,8.13,9.06,5.05,8.29]
1,6,[6.87,3.89,5.28,2.36,1.56,1.93,9.09,4.09,7.43,5.54,2.55,3.23,4.94,4.95,5.7,2.43,4.36,3.55,4.68,4.05,6.38,8.1,6.83]
1,7,[1.59,1.85,7.11,3.56,7.51,6.91,9.16,8.86,4.0,6.24,2.27,4.15,9.71,7.29,4.53,6.36,9.44,3.79,4.39,8.12,8.32,7.03,8.46]
1,8,[7.65,7.17,5.74,6.81,4.81,4.26,4.26,2.62,2.93,9.53,5.38,3.04,2.24,1.69,8.6,1.91,7.94,8.52,8.95,1.34,4.03,7.9,2.18]
1,9,[4.39,2.46,8.48,7.94,8.28,2.49,4.94,4.7,7.09,3.14,5.0,3.56,7.74,5.04,5.81,3.79,8.28,5.22,8.52,4.31,9.52,9.86,5.16]
1,10,[3.54,4.44,5.75,9.7,8.35,8.21,2.25,3.25,6.77,8.87,5.99,1.92,8.61,8.66,3.57,7.87,3.46,9.15,2.33,4.94,9.52,3.0,5.06]
1,11,[4.15,1.24,1.48,5.52,3.12,9.95,4.37,1.25,9.38,8.55,6.85,8.12,2.24,3.58,8.47,7.26,2.25,7.35,5.04,1.05,1.71,3.3,8.51]
1,12,[5.94,7.55,5.75,2.0,3.59,3.71,1.43,4.78,8.15,5.11,2.0,9.15,6.37,1.15,5.64,3.18,2.29,4.86,6.53,3.17,4.75,6.98,1.77]
1,13,[9.77,1.61,5.73,5.57,9.89,5.99,4.51,5.23,6.72,9.83,3.28,1.15,8.1,4.1,7.6,6.65,7.94,7.62,3.99,1.4,5.91,8.32,2.58]
1,14,[8.01,5.18,7.26,6.69,8.3,1.57,7.99,5.12,3.64,1.39,2.8,1.38,9.4,5.64,9.9,5.89,3.28,7.78,2.72,4.21,8.03,8.79,3.99]
1,15,[2.12,4.31,9.01,7.69,9.05,4.48,9.76,5.47,5.48,9.32,5.67,8.21,7.54,1.71,6.42,8.4,5.91,3.89,1.72,6.95,3.76,6.42,4.84]
1,16,[7.21,4.16,1.38,8.83,4.17,9.98,3.47,9.82,9.53,1.68,6.74,4.27,8.21,7.11,9.58,2.29,6.47,8.03,1.31,1.61,8.01,4.3,4.45]
1,17,[6.11,6.45,7.11,9.54,4.35,7.87,6.17,5.77,4.58,6.85,3.25,2.02,7.62,5.49,4.48,6.06,3.36,3.34,5.02,9.97,3.57,9.25,5.42]
1,18,[2.1,8.68,5.07,9.09,5.01,1.79,7.14,8.61,3.88,4.13,1.58,5.88,9.02,8.66,7.41,9.35,6.74,8.14,5.58,2.09,2.81,2.25,8.11]
1,19,[1.24,5.99,4.32,8.23,5.96,6.51,1.78,3.78,10.0,7.47,5.73,7.92,8.41,1.66,9.75,6.78,5.05,7.12,4.1,8.9,8.02,6.76,2.64]
1,20,[9.7,4.89,9.2,1.5,2.12,2.38,2.48,3.9,7.38,4.11,9.47,9.05,8.61,3.26,6.72,5.96,2.13,3.73,5.8,5.52,2.52,9.47,2.39]
2,1,[6.93,7.49,6.45,8.58,6.07,8.43,1.26,1.41,6.77,6.19,6.86,7.9,4.75,6.75,5.48,6.64,3.61,9.61,5.35,8.24,7.16,3.68,1.66]
2,3,[1.54,4.96,5.36,2.84,6.46,3.81,7.47,7.61,8.75,9.78,2.18,4.33,6.05,3.87,5.2,3.41,3.23,1.87,3.61,4.46,6.54,3.23,8.79]
2,4,[2.44,3.95,6.2,3.81,7.87,5.48,5.63,5.49,3.78,1.21,9.51,5.55,9.7,2.94,4.18,1.45,5.45,8.94,6.89,5.24,5.83,8.62,4.88]
2,5,[8.94,7.55,7.87,4.29,4.61,6.13,2.75,5.98,1.66,5.54,7.88,3.52,9.9,7.12,2.07,9.78,4.55,8.15,4.05,9.45,7.79,2.79,5.58]
2,6,[5.5,1.41,2.23,4.0,5.26,5.11,6.46,5.64,3.95,6.52,2.46,9.92,7.65,3.69,4.03,8.45,5.79,7.38,3.7,8.34,4.32,7.06,9.82]
2,7,[6.25,8.17,7.53,7.19,1.24,5.27,9.7,8.05,7.99,6.2,7.49,6.25,2.53,6.66,6.58,8.57,2.33,7.13,1.28,9.53,1.99,1.17,3.82]
2,8,[2.36,7.21,4.69,7.97,9.28,8.86,7.62,1.56,2.24,2.87,3.93,6.96,5.73,3.82,2.56,9.21,4.08,4.19,7.95,7.49,6.79,7.24,6.49]
2,9,[2.73,3.22,6.02,3.02,9.76,3.68,3.6,2.87,7.34,3.85,4.14,9.4,8.16,3.46,2.1,7.09,4.42,9.82,8.37,9.59,8.24,3.61,3.59]
2,10,[7.43,4.12,4.98,3.31,5.31,2.82,5.85,9.4,7.27,2.24,6.54,6.28,3.18,7.03,5.78,6.74,1.47,4.72,7.46,1.9,7.94,1.05,5.95]
