# Nodos
# label,Lat,Lon
Guatemala Centro,14.6123, -90.5353
Zona 10,14.6186, -90.5249
Zona 12,14.5839, -90.4973
Mixco,14.6228, -90.557
Zona 11,14.6365, -90.5111
San Lucas,14.6548, -90.5923
Ciudad Vieja,14.5648, -90.7392
Antigua,14.5656, -90.7336

# Aristas
# from,to,[]
1,2,[6.43,1.12,2.94,2.99,2.14,7.58,7.65,3.95,5.68,8.53,4.63,4.7,9.33,2.64,7.82,1.29,8.04,4.07,4.64,4.34,4.97,9.25,9.87]
2,3,[5.52,2.86,9.05,1.09,7.97,5.03,3.78,7.32,5.58,1.2,6.7,3.92,1.27,2.31,2.75,2.7,8.29,6.91,6.05,3.55,9.19,8.87,4.54]
2,4,[5.37,9.39,9.88,5.59,4.92,1.46,7.74,4.13,2.98,6.84,4.83,2.68,7.76,9.95,5.98,7.12,4.4,1.65,4.1,8.64,4.56,4.2,2.67]
3,5,[4.58,2.77,1.07,2.37,9.47,4.64,5.14,3.32,7.12,3.59,8.34,4.51,9.29,5.26,4.4,9.15,1.66,4.9,3.25,8.95,9.41,2.51,1.15]
4,5,[3.69,4.69,3.96,5.15,6.98,2.58,1.2,7.18,1.17,4.51,5.11,3.74,6.21,7.57,9.02,7.12,2.63,9.06,6.13,8.45,3.62,7.5,1.54]
5,6,[7.47,3.49,9.2,7.92,6.18,1.9,1.9,9.88,6.42,2.27,4.19,8.57,1.61,5.33,2.12,9.03,2.2,6.8,7.94,5.68,7.52,5.08,8.61]
6,7,[6.51,7.02,8.46,1.37,4.87,9.27,6.75,6.73,6.77,1.35,9.49,8.22,9.51,2.21,1.67,7.92,8.87,6.83,7.17,9.35,8.29,6.94,1.3]
7,8,[9.85,1.43,7.95,9.97,8.64,5.94,5.93,6.11,7.79,7.13,7.37,9.14,9.93,2.58,4.74,7.58,9.13,8.98,6.23,4.49,6.93,2.06,2.55]
1,4,[5.21,7.95,1.31,2.92,6.4,9.63,5.83,9.54,9.22,5.0,4.05,9.76,9.73,5.62,4.22,5.35,1.66,9.02,8.87,9.85,4.72,1.09,3.96]
3,6,[2.29,7.92,6.32,4.14,6.01,8.95,2.03,3.23,6.36,9.12,2.75,9.62,5.1,2.98,8.6,7.05,4.45,4.48,8.16,5.81,8.3,6.55,3.22]
2,5,[6.7,9.06,5.33,5.52,6.8,9.64,4.4,8.82,3.05,6.96,5.18,1.4,2.12,8.92,7.82,7.97,2.52,2.29,8.86,3.83,9.27,2.45,4.35]
